procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0      4147936        37312      3128480    0    0   576  1555  574 1585  20   8  41   1   0
 0  0            0      4147684        37320      3128476    0    0     0     8  607 1036  34   3  34   0   0
 0  0            0      4147684        37320      3128484    0    0     0     0  591 1105  34   3  44   0   0
 0  0            0      4147684        37328      3128484    0    0     0     2  327  121  29   2  40   0   0
 1  0            0      4147684        37328      3128484    0    0     0     0  311   65  30   1  40   0   0
 2  0            0      4147684        37336      3128484    0    0     0     2  306   48  31   1  68   0   0
 2  0            0      4147684        37336      3128484    0    0     0    27  310   44  35   0  45   0   0
 2  0            0      4147684        37352      3128484    0    0     0    10  330   61  39   1  40   0   0
 0  0            0      4147684        37360      3128484    0    0     0    21  466  681  38   2  39   0   0
 2  0            0      4147684        37360      3128484    0    0     0     0  354   77  36   1  33   0   0
 2  0            0      4147684        37368      3128484    0    0     0     2  294   56  33   1  35   0   0
 0  0            0      4147684        37368      3128484    0    0     0     0  328   51  29   1  30   0   0
 2  0            0      4147684        37376      3128484    0    0     0     2  308   49  38   1  31   0   0
 1  0            0      4147684        37376      3128484    0    0     0     0  330   48  39   1  31   0   0
 2  0            0      4147684        37384      3128484    0    0     0     3  306   46  37   1  32   0   0
 1  0            0      4147684        37384      3128484    0    0     0     0  324   41  30   1  39   0   0
 1  0            0      4147684        37392      3128484    0    0     0     3  295   46  36   0  33   0   0
 1  0            0      4147684        37392      3128484    0    0     0     0  319   46  40   0  39   0   0
 0  0            0      4147684        37400      3128484    0    0     0     2  551  804  37   2  31   0   0
 1  0            0      4147684        37408      3128484    0    0     0     6  348   54  36   0  34   0   0
 0  0            0      4147684        37420      3128484    0    0     1     8  469  665  41   3  36   0   0
 0  0            0      4147684        37428      3128476    0    0     0     9  365   46  29   0  30   0   0
 3  0            0      4147684        37428      3128484    0    0     0     0  334   56  39   0  31   0   0
 2  0            0      4147432        37572      3128464    0    0    26     2  318   67  29   0  31   0   0
 0  0            0      4147432        37572      3126280    0    0     0     4  354   88  30   0  30   0   0
